pmid,concept,label
36216597,evlp,EVLP use
36217992,acr,ACR burden
36217992,azithromycin,Azithromycin
36217992,era,Era / accrual window
36217992,procedure,Single vs bilateral
36223371,indication_mix,Indication / diagnosis mix
36283951,acr,ACR burden
36283951,age,Age
36283951,procedure,Single vs bilateral
36283951,sex,Sex / gender
36309588,comorbidity,Comorbidity
36309588,hla_mismatch,HLA mismatch
36309588,indication_mix,Indication / diagnosis mix
36309588,maintenance_is,Maintenance IS
36309588,sex,Sex / gender
36319530,age,Age
36319530,center_structure,Center structure
36319530,race_ethnicity,Race / ethnicity
36319530,sex,Sex / gender
36557592,acr,ACR burden
36557592,cmv_dr,CMV D/R serostatus
36557592,maintenance_is,Maintenance IS
36557592,procedure,Single vs bilateral
36695619,age,Age
36695619,cmv_dr,CMV D/R serostatus
36695619,indication_mix,Indication / diagnosis mix
36695619,procedure,Single vs bilateral
36695619,race_ethnicity,Race / ethnicity
36695619,sex,Sex / gender
36695689,cmv_dr,CMV D/R serostatus
36695698,age,Age
36695698,indication_mix,Indication / diagnosis mix
36695698,race_ethnicity,Race / ethnicity
36695698,sex,Sex / gender
36710092,age,Age
36710092,cmv_dr,CMV D/R serostatus
36710092,indication_mix,Indication / diagnosis mix
36710092,sex,Sex / gender
36732088,center_structure,Center structure
36732088,de_novo_dsa,De novo DSA
36810928,age,Age
36824294,acr,ACR burden
36824294,indication_mix,Indication / diagnosis mix
36824294,lung_function,Lung function
36824294,maintenance_is,Maintenance IS
36925381,colonization,Pseudomonas/Aspergillus colonization
36925381,indication_mix,Indication / diagnosis mix
36941179,acr,ACR burden
36941179,age,Age
36941179,cmv_events,CMV infection/disease events
36941179,colonization,Pseudomonas/Aspergillus colonization
36941179,de_novo_dsa,De novo DSA
36941179,era,Era / accrual window
36941179,sex,Sex / gender
36996331,age,Age
36996331,cmv_dr,CMV D/R serostatus
36996331,comorbidity,Comorbidity
36996331,hla_mismatch,HLA mismatch
36996331,indication_mix,Indication / diagnosis mix
36996331,las,Lung allocation score
36996331,maintenance_is,Maintenance IS
36996331,procedure,Single vs bilateral
36996331,race_ethnicity,Race / ethnicity
36996331,sex,Sex / gender
37003354,acr,ACR burden
37003354,age,Age
37003354,azithromycin,Azithromycin
37003354,cmv_events,CMV infection/disease events
37003354,colonization,Pseudomonas/Aspergillus colonization
37003354,de_novo_dsa,De novo DSA
37003354,maintenance_is,Maintenance IS
37003354,procedure,Single vs bilateral
37003354,sex,Sex / gender
37054889,acr,ACR burden
37054889,age,Age
37054889,de_novo_dsa,De novo DSA
37054889,indication_mix,Indication / diagnosis mix
37054889,sex,Sex / gender
37073734,donor_type,Donor type DBD/DCD
37073734,era,Era / accrual window
37073734,evlp,EVLP use
37073734,indication_mix,Indication / diagnosis mix
37115007,age,Age
37115007,pgd,PGD grade
37115007,sex,Sex / gender
37125386,age,Age
37125386,comorbidity,Comorbidity
37171893,maintenance_is,Maintenance IS
37172694,sex,Sex / gender
37287095,acr,ACR burden
37287095,age,Age
37287095,bmi,Body mass index
37287095,cmv_dr,CMV D/R serostatus
37287095,indication_mix,Indication / diagnosis mix
37287095,race_ethnicity,Race / ethnicity
37287095,sex,Sex / gender
37305133,acr,ACR burden
37305133,indication_mix,Indication / diagnosis mix
37388387,age,Age
37388387,bmi,Body mass index
37388387,gerd,GERD / aspiration
37389015,acr,ACR burden
37389015,de_novo_dsa,De novo DSA
37389015,induction,Induction regimen
37442212,nonhla_ab,Non-HLA antibodies
37541572,age,Age
37541572,bmi,Body mass index
37541572,comorbidity,Comorbidity
37541572,procedure,Single vs bilateral
37575951,age,Age
37575951,cmv_dr,CMV D/R serostatus
37575951,indication_mix,Indication / diagnosis mix
37575951,las,Lung allocation score
37575951,race_ethnicity,Race / ethnicity
37575951,sex,Sex / gender
37625646,acr,ACR burden
37625646,age,Age
37625646,cmv_dr,CMV D/R serostatus
37625646,indication_mix,Indication / diagnosis mix
37634575,donor_type,Donor type DBD/DCD
37634575,pgd,PGD grade
37648073,age,Age
37648073,indication_mix,Indication / diagnosis mix
37648073,sex,Sex / gender
37741317,age,Age
37741317,las,Lung allocation score
37741317,procedure,Single vs bilateral
37741317,sex,Sex / gender
37741923,age,Age
37741923,sex,Sex / gender
37817870,age,Age
37817870,cmv_dr,CMV D/R serostatus
37817870,era,Era / accrual window
37817870,indication_mix,Indication / diagnosis mix
37817870,pgd,PGD grade
37817870,procedure,Single vs bilateral
37817870,sex,Sex / gender
37904125,age,Age
37904125,pgd,PGD grade
37904125,procedure,Single vs bilateral
37904125,sex,Sex / gender
37972825,acr,ACR burden
37972825,age,Age
37972825,center_structure,Center structure
37972825,era,Era / accrual window
37972825,sex,Sex / gender
37981213,age,Age
37981213,cmv_dr,CMV D/R serostatus
37981213,indication_mix,Indication / diagnosis mix
37981213,pre_tx_dsa,Pre-tx DSA / cPRA
37981213,sex,Sex / gender
38117233,age,Age
38117233,indication_mix,Indication / diagnosis mix
38117233,las,Lung allocation score
38117233,procedure,Single vs bilateral
38117233,race_ethnicity,Race / ethnicity
38117233,sex,Sex / gender
38190701,age,Age
38190701,indication_mix,Indication / diagnosis mix
38190701,pgd,PGD grade
38190701,sex,Sex / gender
38211836,cmv_dr,CMV D/R serostatus
38211836,pgd,PGD grade
38211836,sex,Sex / gender
38237809,procedure,Single vs bilateral
38237809,sex,Sex / gender
38264297,age,Age
38264297,indication_mix,Indication / diagnosis mix
38264297,procedure,Single vs bilateral
38264297,race_ethnicity,Race / ethnicity
38264297,sex,Sex / gender
38307417,age,Age
38307417,cmv_dr,CMV D/R serostatus
38307417,era,Era / accrual window
38307417,indication_mix,Indication / diagnosis mix
38307417,procedure,Single vs bilateral
38307417,sex,Sex / gender
38521967,age,Age
38521967,bmi,Body mass index
38521967,gerd,GERD / aspiration
38705500,acr,ACR burden
38705500,age,Age
38705500,era,Era / accrual window
38705500,indication_mix,Indication / diagnosis mix
38705500,pgd,PGD grade
38705500,race_ethnicity,Race / ethnicity
38705500,sex,Sex / gender
38779355,amr,AMR
38779355,de_novo_dsa,De novo DSA
38852935,age,Age
38924641,age,Age
38924641,cmv_dr,CMV D/R serostatus
38924641,indication_mix,Indication / diagnosis mix
38924641,pre_tx_dsa,Pre-tx DSA / cPRA
38924641,sex,Sex / gender
38951782,amr,AMR
38951782,de_novo_dsa,De novo DSA
38951782,pre_tx_dsa,Pre-tx DSA / cPRA
38953039,acr,ACR burden
38953039,age,Age
38953039,center_structure,Center structure
38953039,indication_mix,Indication / diagnosis mix
38953039,pgd,PGD grade
38979724,age,Age
38979724,comorbidity,Comorbidity
38979724,procedure,Single vs bilateral
38991901,age,Age
38991901,bmi,Body mass index
38991901,ischemic_time,Ischemic time
38991901,sex,Sex / gender
39115489,clad_staging,CLAD severity staging
39136242,age,Age
39136242,era,Era / accrual window
39136242,hla_mismatch,HLA mismatch
39136242,procedure,Single vs bilateral
39136242,sex,Sex / gender
39142524,cmv_dr,CMV D/R serostatus
39142524,indication_mix,Indication / diagnosis mix
39142524,lung_function,Lung function
39294868,hla_mismatch,HLA mismatch
39294868,induction,Induction regimen
39381015,age,Age
39381015,cmv_dr,CMV D/R serostatus
39381015,de_novo_dsa,De novo DSA
39381015,sex,Sex / gender
39393626,age,Age
39393626,hla_mismatch,HLA mismatch
39393626,ischemic_time,Ischemic time
39426232,age,Age
39426232,de_novo_dsa,De novo DSA
39426232,maintenance_is,Maintenance IS
39437867,age,Age
39437867,center_structure,Center structure
39437867,era,Era / accrual window
39437867,indication_mix,Indication / diagnosis mix
39437867,induction,Induction regimen
39437867,maintenance_is,Maintenance IS
39448000,acr,ACR burden
39448000,age,Age
39448000,cmv_dr,CMV D/R serostatus
39448000,de_novo_dsa,De novo DSA
39448000,pgd,PGD grade
39448000,procedure,Single vs bilateral
39448000,sex,Sex / gender
39470452,acr,ACR burden
39470452,cmv_events,CMV infection/disease events
39470452,de_novo_dsa,De novo DSA
39558551,era,Era / accrual window
39571635,age,Age
39571635,cmv_dr,CMV D/R serostatus
39571635,indication_mix,Indication / diagnosis mix
39571635,pgd,PGD grade
39571635,sex,Sex / gender
39790585,acr,ACR burden
39790585,age,Age
39829718,age,Age
39829718,cmv_dr,CMV D/R serostatus
39829718,de_novo_dsa,De novo DSA
39829718,eplet_mm,Eplet / molecular HLA mismatch
39829718,hla_mismatch,HLA mismatch
39829718,pre_tx_dsa,Pre-tx DSA / cPRA
39829718,sex,Sex / gender
39892791,amr,AMR
39892791,cmv_events,CMV infection/disease events
39892791,colonization,Pseudomonas/Aspergillus colonization
39892791,de_novo_dsa,De novo DSA
39892791,indication_mix,Indication / diagnosis mix
39892791,resp_viral,Respiratory viral infections
40117366,age,Age
40117366,cmv_dr,CMV D/R serostatus
40117366,sex,Sex / gender
40144010,las,Lung allocation score
40144010,procedure,Single vs bilateral
40144253,age,Age
40144727,colonization,Pseudomonas/Aspergillus colonization
40144837,age,Age
40144837,indication_mix,Indication / diagnosis mix
40144837,sex,Sex / gender
40145037,cmv_dr,CMV D/R serostatus
40145037,induction,Induction regimen
40145037,sex,Sex / gender
40145051,cmv_dr,CMV D/R serostatus
40145051,comorbidity,Comorbidity
40278827,age,Age
40278827,indication_mix,Indication / diagnosis mix
40278827,sex,Sex / gender
40300676,acr,ACR burden
40300676,age,Age
40300676,cmv_dr,CMV D/R serostatus
40300676,colonization,Pseudomonas/Aspergillus colonization
40300676,de_novo_dsa,De novo DSA
40300676,era,Era / accrual window
40300676,indication_mix,Indication / diagnosis mix
40300676,las,Lung allocation score
40300676,race_ethnicity,Race / ethnicity
40300676,resp_viral,Respiratory viral infections
40300676,sex,Sex / gender
40330662,age,Age
40330662,sex,Sex / gender
40404215,age,Age
40404215,comorbidity,Comorbidity
40404215,ischemic_time,Ischemic time
40590009,center_structure,Center structure
40590009,procedure,Single vs bilateral
40590009,race_ethnicity,Race / ethnicity
40599904,acr,ACR burden
40599904,amr,AMR
40698562,acr,ACR burden
40698562,age,Age
40698562,cmv_dr,CMV D/R serostatus
40698562,era,Era / accrual window
40698562,indication_mix,Indication / diagnosis mix
40811102,age,Age
40811102,indication_mix,Indication / diagnosis mix
40811102,sex,Sex / gender
40838823,age,Age
40838823,sex,Sex / gender
40881742,bmi,Body mass index
40881742,procedure,Single vs bilateral
41058980,age,Age
41058980,amr,AMR
41058980,cmv_events,CMV infection/disease events
41058980,pre_tx_dsa,Pre-tx DSA / cPRA
41112061,age,Age
41112061,indication_mix,Indication / diagnosis mix
41112061,race_ethnicity,Race / ethnicity
41112061,sex,Sex / gender
41134996,acr,ACR burden
41134996,age,Age
41134996,donor_type,Donor type DBD/DCD
41134996,era,Era / accrual window
41134996,sex,Sex / gender
41158494,acr,ACR burden
41158494,age,Age
41158494,amr,AMR
41158494,pgd,PGD grade
41158494,sex,Sex / gender
41217841,age,Age
41217841,indication_mix,Indication / diagnosis mix
41217841,race_ethnicity,Race / ethnicity
41217841,sex,Sex / gender
41337937,cmv_events,CMV infection/disease events
41337937,de_novo_dsa,De novo DSA
41337937,procedure,Single vs bilateral
41342001,acr,ACR burden
41342001,age,Age
41342001,amr,AMR
41342001,colonization,Pseudomonas/Aspergillus colonization
41342001,de_novo_dsa,De novo DSA
41415034,acr,ACR burden
41415034,age,Age
41453696,age,Age
41453696,cmv_dr,CMV D/R serostatus
41453696,colonization,Pseudomonas/Aspergillus colonization
41453696,sex,Sex / gender
41574224,cmv_dr,CMV D/R serostatus
41574224,cmv_events,CMV infection/disease events
41574224,comorbidity,Comorbidity
41574224,maintenance_is,Maintenance IS
41619918,age,Age
41619918,procedure,Single vs bilateral
41619918,race_ethnicity,Race / ethnicity
41619918,sex,Sex / gender
41624215,acr,ACR burden
41624215,cmv_events,CMV infection/disease events
41624215,de_novo_dsa,De novo DSA
41624215,hla_mismatch,HLA mismatch
41624215,las,Lung allocation score
41672090,pgd,PGD grade
41738136,age,Age
41738136,indication_mix,Indication / diagnosis mix
41738136,procedure,Single vs bilateral
41738136,race_ethnicity,Race / ethnicity
41738136,sex,Sex / gender
41798058,age,Age
41798058,bmi,Body mass index
41798058,era,Era / accrual window
41798058,sex,Sex / gender
41864285,age,Age
41864285,sex,Sex / gender
42153608,de_novo_dsa,De novo DSA
42256236,age,Age
42256236,sex,Sex / gender
42309233,ischemic_time,Ischemic time
